STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
430	0,0000	0,0000	0,0000	-0,3034	58,7415	-6,2373	-30,0236	137,0194	-50,4604	-32,6047	73,7899	-32,0019	-91,8017	91,6997	-48,7042	-126,6306	110,6191	-61,6187	-145,4255	117,4605	-67,4836	17,9550	17,9550	-41,7490	155,9986	-37,1158	-73,5999	184,3982	-79,6445	-87,4410	196,2959	-97,1572	-93,8123	201,2981	-106,8701	25,7000	23,2311	11,6156	-28,7499	160,4430	-60,6219	-48,1130	194,2446	-96,8552	-72,2002	208,5807	-124,3228	-85,0881	215,4825	-137,4116	9,2600	21,9024	18,9512	-5,3743	155,6950	-73,2999	-34,7871	175,6435	-111,9026	-46,4219	189,6859	-125,9571	-52,3007	197,8047	-131,6179	1,9100	22,6591	19,3295	2,1476	137,4234	-89,3482	-10,2003	161,6887	-110,1737	-17,0978	181,7401	-125,2185	-22,1293	189,5813	-134,2846	11,1400	24,0000	12,0000	620,00	1,00	1,00	1,00	1,00	106,04	134,68	138,71	157,69	118,28	106,69	129,42	103,82	99,26	
870	0,0000	0,0000	0,0000	-1,6083	58,4674	-8,1224	-30,2277	137,1914	-52,2047	-33,4294	73,8724	-34,2436	-92,3278	92,1541	-51,4994	-126,9056	111,3216	-64,6708	-145,5919	118,2885	-70,7047	17,9400	17,9400	-42,0400	156,1349	-38,9048	-72,9255	185,5169	-81,4467	-86,3699	197,8170	-98,9770	-92,5400	203,0261	-108,7050	25,1400	23,2044	11,6022	-28,6750	160,6697	-62,1757	-47,2778	194,8704	-98,4040	-70,8134	209,7046	-126,0640	-83,4231	216,8884	-139,2607	9,1900	22,1100	19,0550	-5,1496	155,8815	-74,5361	-33,7610	176,5513	-113,3346	-45,0403	190,8620	-127,3946	-50,7522	199,0990	-133,0469	1,5600	22,6591	19,3295	2,5053	137,6880	-90,5954	-9,3749	162,2194	-111,3603	-15,9188	182,4483	-126,3085	-20,7648	190,4042	-135,3689	11,2800	24,0000	12,0000	43,00	1,00	1,00	1,00	1,00	106,95	135,23	139,33	158,00	118,36	106,81	129,46	103,87	99,18	
1300	0,0000	0,0000	0,0000	6,2898	58,2117	-7,1750	-9,1819	140,7269	-50,6811	-21,7028	78,1624	-34,4977	-76,5565	104,4853	-54,2597	-107,4782	128,3373	-68,6739	-124,5736	137,9534	-75,6374	17,9550	17,9550	-19,0835	160,8199	-37,5631	-42,6578	196,3812	-79,9781	-53,0702	211,2955	-97,5039	-57,8197	217,7724	-107,2503	23,2500	23,0956	11,5478	-3,9965	163,9349	-59,9649	-15,5231	201,3890	-95,8343	-34,9390	220,5088	-123,9992	-45,4957	230,0272	-137,4866	8,4200	22,7199	19,3599	19,3053	156,2750	-71,1883	-3,8074	181,7060	-110,7415	-12,1119	197,8175	-124,8849	-16,2586	206,9220	-130,5468	0,9300	22,7500	19,3750	25,3470	137,5272	-87,2556	18,1251	163,9395	-107,7951	15,2681	185,2209	-122,3895	12,0802	193,9851	-131,4195	11,7700	24,0199	12,0099	1,00	1,00	1,00	1,00	1,00	108,75	136,22	139,66	157,88	118,09	107,25	129,72	103,97	99,03	
1730	0,0000	0,0000	0,0000	13,1246	56,9060	-7,4843	13,2561	140,7214	-50,8694	-8,7368	80,2881	-37,4217	-51,9821	116,6695	-67,1407	-73,7203	145,7582	-87,3304	-80,5497	159,5322	-101,3025	17,8650	17,8650	4,4940	161,8127	-38,6342	0,1739	211,6696	-71,8215	-2,1070	232,7591	-85,4466	-2,8453	242,5209	-93,3879	5,5400	23,4624	11,7312	22,3281	163,0832	-59,0476	25,5227	207,4780	-87,8671	16,4324	235,4183	-113,6886	11,0756	249,5746	-126,0745	3,4100	23,8764	19,9382	45,5969	152,6082	-67,6337	37,2047	190,5444	-102,6407	35,9519	210,7912	-113,3688	35,3440	221,6260	-117,0949	13,7000	23,2311	19,6155	51,0741	133,3461	-83,2119	50,5636	162,6670	-100,7405	52,8581	185,5938	-112,5991	52,2183	195,7226	-120,6537	18,0700	24,1536	12,0768	1,00	1,00	1,00	1,00	1,00	113,96	130,83	132,42	138,97	108,15	111,49	132,32	106,86	97,02	
2160	0,0000	0,0000	0,0000	10,8373	57,4278	-6,8086	3,9004	136,7744	-57,3155	-12,6813	76,0248	-38,7344	-58,2249	109,2284	-68,6448	-81,8341	136,4953	-89,2131	-89,5318	149,4469	-103,4955	18,0000	18,0000	-6,8682	157,9458	-47,0102	-13,6398	207,3540	-80,3831	-16,7696	228,4541	-93,7889	-17,8170	238,3221	-101,5483	0,4300	24,4375	12,2188	11,0031	159,0610	-67,3752	12,8905	203,4657	-96,2271	3,4312	231,0150	-122,2939	-2,0922	244,9838	-134,7976	8,9400	24,3276	20,1638	35,2057	150,0513	-74,9204	25,0722	184,3082	-113,0656	22,9414	203,6993	-125,1199	21,8790	214,2486	-129,4846	14,7500	24,4524	20,2262	42,5791	130,1047	-88,7256	42,1999	157,6476	-108,8963	44,5266	179,5028	-122,5904	44,1269	188,8553	-131,5358	19,9600	24,3759	12,1880	1,00	1,00	1,00	1,00	1,00	114,22	133,24	131,48	142,14	104,99	112,87	133,22	107,40	99,19	
2590	0,0000	0,0000	0,0000	4,6980	58,4850	-4,3611	-13,3224	138,4842	-50,9436	-22,4137	75,6659	-34,1590	-72,7553	106,8808	-57,8755	-100,0675	133,4113	-74,4293	-110,7606	146,4481	-86,5398	18,0000	18,0000	-25,6231	157,9916	-39,1747	-39,4445	208,0963	-69,1597	-45,5123	229,4474	-81,0764	-48,0222	239,5638	-88,1497	0,3400	24,5376	12,2688	-9,1606	161,7594	-60,3906	-13,1953	207,5365	-86,7690	-26,7024	235,2919	-110,7488	-34,2333	249,2578	-122,1594	9,7800	24,3439	20,1719	15,3743	155,6577	-69,5911	0,0277	189,4889	-106,3481	-4,6337	208,8259	-117,7582	-6,9709	219,3077	-121,7741	14,1200	24,5376	20,2688	23,9762	137,1383	-84,6185	20,2052	165,0564	-103,9036	19,9363	187,4081	-116,9760	18,3180	196,9309	-125,5979	19,8200	24,4375	12,2188	1,00	1,00	1,00	1,00	1,00	112,29	133,02	131,61	144,00	104,04	113,16	133,34	107,66	99,95	
3020	0,0000	0,0000	0,0000	9,7378	57,7425	-6,2421	3,5465	143,4982	-45,2112	-15,0180	81,5626	-33,4714	-53,3973	124,3673	-61,2823	-71,1899	156,7929	-80,2306	-72,7228	171,2903	-95,0372	17,6550	17,6550	-5,2322	163,5712	-31,3690	-12,7950	217,4707	-56,7639	-26,4250	218,3421	-77,9614	-32,1426	211,2413	-86,6709	0,5700	39,6416	19,8208	11,1330	166,6118	-52,8077	12,9506	214,1482	-76,2559	2,6326	244,8264	-98,2344	-3,3307	260,2682	-108,6582	8,1000	23,7456	19,8728	34,1878	157,5978	-63,4097	24,5058	196,6962	-96,7827	23,0170	217,4604	-106,4493	22,3944	228,4929	-109,5475	14,6800	24,2604	20,1302	39,3926	139,3672	-80,2777	39,8582	169,2502	-96,8457	42,9865	192,5079	-107,8499	42,7745	202,9453	-115,5288	20,2400	24,4224	12,2112	768,00	1,00	1,00	1,00	1,00	57,56	113,66	111,94	121,50	95,25	87,07	133,07	108,25	100,09	
3460	0,0000	0,0000	0,0000	9,7617	57,6927	-6,9031	3,8291	143,5253	-45,8555	-15,0919	81,7027	-33,9104	-45,2850	123,7411	-71,3779	-57,1234	154,6467	-96,5460	-41,6006	156,9704	-110,1779	17,5650	17,5650	-4,6682	163,6765	-31,9278	-33,9708	188,9497	-77,8999	-41,7585	166,2845	-85,7824	-39,0520	154,7244	-81,5205	40,9600	66,0116	33,0058	11,5175	166,5911	-53,5365	10,5408	212,0631	-80,8668	-1,9164	240,2525	-104,9986	-8,9665	254,4316	-116,5005	2,4300	23,4375	19,7188	34,4111	157,3979	-64,3651	26,6583	195,4221	-99,4783	24,3736	214,8979	-111,4282	22,8797	225,2832	-116,0915	14,0500	18,3951	17,1975	39,3173	139,1160	-81,2857	40,1474	168,8558	-98,1296	43,5792	191,9863	-109,3395	43,5026	202,3678	-117,1071	20,1000	24,4671	12,2336	818,00	1,00	1,00	1,00	1,00	28,86	102,97	94,12	96,70	79,89	56,89	132,12	109,45	100,56	
3880	0,0000	0,0000	0,0000	10,1112	57,4800	-7,1713	4,5208	143,2448	-45,8686	-14,8319	81,7321	-33,7348	-52,6848	121,0850	-66,6735	-69,7537	151,2376	-89,5066	-54,1431	154,2743	-102,8316	17,0100	17,0100	-3,5441	163,4273	-31,8256	-32,1041	192,0035	-76,1449	-40,2491	169,5346	-84,0681	-37,4651	158,0624	-79,6943	37,7400	68,8961	34,4481	12,3220	166,1921	-53,6225	11,6460	211,7790	-80,5631	-0,2170	240,8370	-103,8224	-6,8151	255,5945	-114,7861	2,8500	24,7296	20,3648	34,9122	156,7912	-64,7720	28,0361	194,6425	-100,0991	27,5675	214,8562	-110,8892	27,3730	225,6852	-114,6313	14,2600	23,5359	19,7680	39,3697	138,5151	-81,7474	40,5791	168,1419	-98,6295	44,3330	191,1462	-109,8768	44,3909	201,4978	-117,6413	20,2400	24,5239	12,2619	817,00	1,00	1,00	1,00	1,00	28,77	112,47	109,01	110,26	82,51	55,92	132,29	109,76	100,67	
4310	0,0000	0,0000	0,0000	9,0729	57,4850	-8,3771	1,5410	141,1114	-51,1870	-15,9813	79,5747	-36,6604	-55,6364	115,0216	-71,8278	-73,5868	143,1069	-96,5376	-57,8249	146,3670	-109,6267	16,0950	16,0950	-7,5869	161,6161	-38,3141	-35,7409	189,2314	-83,4871	-43,8443	167,1412	-92,4435	-41,4415	155,3702	-88,6838	35,5000	65,8209	32,9104	8,7441	163,9398	-59,8141	7,9680	208,8400	-87,8731	-3,7250	237,0819	-112,1938	-10,2584	251,4382	-123,7121	4,3900	24,7884	20,3942	31,9319	154,8516	-69,9439	25,2617	191,0894	-106,9557	24,7259	210,9099	-118,4450	24,4500	221,6089	-122,5366	14,9600	23,9391	19,9695	37,4677	135,9854	-85,9240	38,3926	164,8266	-104,1271	41,8702	187,3932	-116,3061	41,8975	197,3777	-124,5358	20,5200	24,5511	12,2755	1,00	1,00	1,00	1,00	1,00	28,07	116,19	112,24	113,00	83,47	58,79	132,56	109,98	100,87	
4750	0,0000	0,0000	0,0000	8,5286	57,3386	-9,9098	1,1737	139,9048	-54,8064	-16,1271	78,5502	-39,2130	-55,6471	110,9905	-77,3373	-74,2622	137,1583	-103,6264	-73,8283	147,8615	-121,3985	17,1600	17,1600	-8,3944	160,6230	-42,6001	-18,0725	209,3668	-76,1848	-22,8600	229,6572	-90,3106	-24,9128	238,9311	-98,5762	5,6100	22,2444	11,1222	8,3617	162,5972	-63,8142	9,2983	208,1544	-90,8128	-1,1259	237,0778	-114,9234	-7,0612	251,7546	-126,3689	7,5400	24,6279	20,3139	31,8360	153,4838	-73,2550	25,1387	190,2836	-109,7208	24,5832	210,3092	-120,8588	24,2950	221,0848	-124,7514	16,6400	24,0784	20,0392	37,8625	134,3002	-88,6794	39,6187	162,7483	-107,4461	43,6732	185,0400	-119,9612	44,0632	194,8507	-128,3931	21,2200	24,5644	12,2822	1,00	1,00	1,00	1,00	1,00	105,86	123,60	122,48	127,10	100,61	111,37	133,04	109,62	101,36	
5180	0,0000	0,0000	0,0000	9,2574	57,1968	-10,0272	2,0011	140,0619	-54,3592	-15,9389	78,9894	-38,4213	-56,8611	110,3436	-75,9563	-76,8298	135,7842	-101,9553	-78,2198	146,3817	-119,7385	17,7300	17,7300	-6,7623	160,9037	-41,7723	-14,1334	213,5623	-69,5090	-17,5041	235,9257	-80,5770	-18,8197	246,4955	-87,2887	0,8300	24,1719	12,0859	9,3181	162,6485	-63,5181	11,5144	209,2071	-88,6573	1,7984	239,5164	-111,3087	-3,7513	254,8972	-121,9936	10,0600	24,7191	20,3596	32,2876	153,1333	-73,7598	24,8653	189,9081	-110,1001	24,3070	209,9509	-121,2008	24,1120	220,7409	-125,0544	16,1500	24,4071	20,2036	37,4356	133,9060	-89,4402	39,4761	162,1955	-108,4084	43,8063	184,3082	-121,1398	44,2526	194,0609	-129,6332	21,0800	24,5775	12,2887	1,00	1,00	1,00	1,00	1,00	120,85	131,63	126,61	131,80	103,68	113,34	133,40	109,53	101,82	
5610	0,0000	0,0000	0,0000	-8,9716	52,9830	-23,8922	-31,2949	140,1347	-52,0509	-14,1243	77,2881	-59,9360	-25,7746	108,5249	-114,3056	-32,3572	135,7552	-144,9244	-27,3255	152,7879	-155,6553	17,8200	17,8200	-55,9635	147,9595	-52,0617	-72,6195	202,1952	-71,5165	-80,2900	224,7920	-79,5592	-82,8190	236,3277	-83,9256	1,6700	24,2604	12,1302	-35,1475	165,2335	-50,3357	-44,9186	216,2621	-60,6197	-52,0917	249,3457	-80,1264	-56,5477	265,5297	-90,1187	10,5500	24,6400	20,3200	-12,3106	169,6886	-36,8513	-11,8815	215,4008	-62,1284	-16,0640	237,0741	-68,3048	-19,7241	247,7294	-70,4055	15,3800	24,3759	20,1880	11,8512	163,6336	-41,5164	9,1947	196,7163	-49,4540	6,9241	222,3514	-52,2197	7,2175	234,6550	-56,2233	20,7300	24,5904	12,2952	1,00	1,00	1,00	1,00	1,00	123,30	133,64	127,82	133,35	104,45	113,68	133,46	109,76	102,15	
6040	0,0000	0,0000	0,0000	-12,6087	53,0616	-23,5565	-40,8601	139,6064	-51,4970	-19,0946	77,5410	-59,8114	-27,3859	113,5550	-112,5859	-31,6778	143,5835	-141,5255	-23,3021	161,6917	-147,9558	17,7150	17,7150	-66,2640	145,7773	-51,7278	-86,7673	199,7481	-70,1106	-96,0310	222,1790	-77,7378	-99,3572	233,7318	-81,8914	2,5800	24,1900	12,0950	-46,5086	164,6157	-49,5896	-59,8574	215,4649	-59,5306	-67,0746	247,1743	-81,8959	-71,1225	262,1569	-94,0854	10,6900	18,9975	17,4988	-23,9543	170,5640	-35,6632	-24,6426	215,5282	-63,2750	-28,9167	236,5242	-72,0523	-32,5632	246,8239	-75,8804	11,7400	20,3775	18,1887	0,8674	166,1861	-40,1459	-4,4554	199,1673	-48,6488	-8,8093	224,7570	-51,7969	-9,5004	237,1163	-56,0034	20,0300	24,6400	12,3200	1,00	1,00	1,00	1,00	1,00	123,85	123,62	111,93	119,73	100,50	114,91	133,22	110,27	102,53	
6470	0,0000	0,0000	0,0000	-10,9329	56,3363	-19,8849	-33,0164	147,7740	-44,9765	-20,0383	82,1515	-55,8664	-32,9391	118,7414	-109,0922	-38,7527	149,2156	-138,6639	-29,7393	166,6552	-147,2579	17,7600	17,7600	-57,7848	157,1566	-41,3938	-75,0547	214,5157	-57,1587	-82,9943	238,4473	-63,5293	-85,6743	250,6136	-67,2554	3,0700	24,3111	12,1556	-35,3362	173,8404	-42,5261	-44,2113	227,1777	-50,7856	-48,7353	257,5369	-76,9762	-51,2804	270,8047	-91,9598	11,1800	10,5600	13,2800	-9,8367	177,0417	-31,9970	-8,9176	223,4353	-59,5131	-10,9329	244,0948	-70,8912	-13,2723	254,1606	-76,6611	12,6500	11,4576	13,7288	13,8402	169,5730	-40,2785	11,7314	203,8347	-48,2615	10,3695	230,3994	-50,9110	10,7365	243,0830	-55,1097	20,1000	24,6864	12,3432	1,00	1,00	1,00	1,00	1,00	128,76	119,87	113,63	126,38	104,06	117,67	132,96	112,75	105,36	
6910	0,0000	0,0000	0,0000	9,2355	58,9756	-4,8615	-15,4731	149,1892	-26,4923	-26,3699	85,0590	-11,1522	-80,3442	120,9102	-15,6411	-110,4452	149,6622	-22,9614	-119,5794	162,3958	-37,1389	17,8200	17,8200	-14,0830	168,1272	-8,2146	-30,9188	225,9253	-18,5608	-37,8527	250,3426	-22,2238	-41,7331	262,1615	-25,3355	2,2300	24,2079	12,1039	-12,7183	173,4200	-35,2720	-20,5556	224,4597	-50,8580	-43,6025	255,1071	-61,4786	-56,5555	269,5382	-65,9247	11,1100	15,5136	15,7568	0,0837	165,6646	-58,2074	-25,7086	205,8395	-81,6779	-36,0603	225,1095	-89,8268	-41,3199	235,1495	-92,6125	12,5800	12,9591	14,4796	-5,9788	148,7946	-76,7744	-13,2598	179,7882	-90,7094	-15,4011	203,7908	-101,3937	-19,1948	214,7329	-107,6862	19,6800	24,6975	12,3488	1,00	1,00	1,00	1,00	1,00	127,09	127,59	120,40	133,39	105,48	115,99	133,14	111,49	104,41	
7340	0,0000	0,0000	0,0000	15,0415	57,3891	-6,5162	2,6916	150,5268	-24,5701	-16,3285	88,7981	-8,3336	-58,4597	137,5634	-2,3017	-80,2543	173,5838	-3,5230	-90,2459	190,5360	-11,0251	17,5350	17,5350	9,2295	168,5150	-6,5833	0,7662	228,3781	-13,6581	-2,6644	253,5953	-15,9975	-5,0283	265,9225	-18,3934	2,4400	23,9391	11,9696	8,1936	174,1337	-33,4916	6,8074	225,9387	-47,7598	-11,2420	260,4466	-55,2219	-21,5114	277,1856	-57,9441	11,1100	16,9344	16,4672	16,7413	165,0207	-57,7562	-5,2218	208,7158	-78,2233	-12,8130	229,5757	-85,1776	-16,3248	240,4436	-87,3770	11,9500	14,5671	15,2836	5,9351	149,8090	-75,4565	2,8670	181,7733	-88,4300	3,8857	205,9097	-98,7476	1,4457	217,4347	-104,5556	20,8000	24,6400	12,3200	1,00	1,00	1,00	1,00	1,00	114,02	120,14	117,41	133,71	102,09	115,82	133,20	111,32	104,29	
7770	0,0000	0,0000	0,0000	14,8342	57,9142	-7,9874	1,1151	151,7773	-26,6715	-17,0284	89,5415	-8,5721	-58,6223	139,2444	0,2623	-80,2708	175,8909	0,4545	-91,8523	193,3868	-3,1063	17,4750	17,4750	8,5800	170,1887	-9,0704	0,6925	230,8276	-15,7577	-2,6066	256,3478	-17,9622	-5,0136	268,8225	-20,2739	3,7000	23,6076	11,8038	6,1255	175,5405	-36,2386	2,3212	227,5428	-51,4682	-19,7339	260,1943	-58,7568	-32,4480	275,4832	-61,2096	9,5000	12,8896	14,4448	13,5306	166,0651	-61,0598	-10,8842	209,2373	-81,3166	-18,2134	230,4437	-88,3304	-21,2054	241,5830	-90,5931	10,6200	17,8176	16,9088	1,7630	150,4505	-78,1839	-2,3162	182,6599	-91,2547	-2,0845	207,0027	-101,8419	-4,9828	218,5971	-107,6167	20,5900	24,5904	12,2952	1,00	1,00	1,00	1,00	1,00	116,30	116,81	122,34	138,22	104,54	117,38	132,75	112,47	105,14	
8200	0,0000	0,0000	0,0000	17,8947	56,8913	-3,0409	11,9507	152,0530	-11,5250	-10,7533	90,6501	0,9195	-41,2643	144,8098	19,0810	-55,4049	183,9976	25,4256	-63,9162	203,2500	26,3629	17,3850	17,3850	21,5434	167,6890	7,2922	19,7962	228,5657	6,7600	19,1519	254,1253	7,1435	18,0276	266,8224	6,1516	4,5400	23,7231	11,8616	18,6364	175,9310	-18,8065	18,2637	228,8162	-28,5747	1,0404	264,4497	-31,3271	-8,7663	281,6903	-31,6147	8,8000	16,7056	16,3528	24,2284	168,5588	-44,4983	3,1077	215,2427	-58,2143	-1,8661	237,6027	-62,3378	-3,4133	249,1068	-63,1678	10,6200	19,5244	17,7622	10,6574	155,9782	-62,3798	8,8643	189,2679	-71,8311	10,7384	214,2363	-79,8229	8,6346	226,4437	-84,2109	20,3800	24,5644	12,2822	1,00	1,00	1,00	1,00	1,00	105,66	112,05	117,38	134,27	99,06	116,28	132,81	111,01	104,06	
8630	0,0000	0,0000	0,0000	21,2823	55,3645	5,2762	35,3737	149,0128	17,2285	2,1177	91,6793	21,9755	4,1080	144,2587	59,4168	10,7126	181,7533	77,2050	12,0690	201,3130	84,7584	16,9800	16,9800	51,3105	157,7011	36,1292	62,9242	216,1142	48,0221	67,9306	240,4912	53,5783	69,4264	253,0223	55,3884	4,3300	23,5839	11,7920	45,8321	172,2728	13,5259	55,4578	225,0177	14,7204	47,1946	262,8376	22,8737	42,1720	281,2410	28,1048	8,6600	17,9244	16,9622	45,0641	170,3662	-13,6267	33,1055	221,8835	-12,7802	33,0029	245,0408	-11,2347	34,2057	256,4446	-9,4539	10,8300	20,2476	18,1238	26,1684	165,0755	-30,1622	30,1982	199,3236	-32,3548	36,1379	224,6487	-35,5592	36,0678	237,6815	-36,9265	20,3100	24,5511	12,2755	1,00	1,00	1,00	1,00	1,00	82,62	102,49	111,38	129,25	88,54	115,90	132,85	110,70	103,90	
9060	0,0000	0,0000	0,0000	25,6248	53,2562	-6,2282	54,4454	144,0136	-3,5820	23,2762	89,8261	18,5526	52,4970	138,4155	49,1912	72,5733	173,3921	60,6942	80,3755	191,9846	66,4503	16,8300	16,8300	79,0182	149,8856	3,1723	101,7710	205,9384	6,8957	111,6782	229,2926	8,8893	115,2921	241,4674	9,6623	4,3300	23,4375	11,7188	63,6123	166,3930	-12,3315	78,3520	217,6732	-16,5200	81,0493	255,4502	-5,3669	82,3620	273,8897	1,5578	8,9400	18,8496	17,4248	47,6810	166,4545	-34,3469	44,1571	218,5505	-26,6002	47,6954	241,4010	-25,2526	51,0645	252,4548	-24,4889	10,8300	20,7564	18,3782	22,3770	164,0530	-37,4668	28,2417	197,8098	-41,3690	34,1320	222,6135	-47,2181	34,7498	235,6363	-48,2470	20,2400	24,5511	12,2755	1,00	1,00	1,00	1,00	1,00	83,02	104,52	113,07	130,93	88,76	115,65	132,94	110,49	103,82	
9490	0,0000	0,0000	0,0000	22,0136	53,1612	-14,4770	47,8787	144,6281	-17,6685	27,3388	88,6979	11,2028	64,9080	136,4379	32,4073	87,4248	171,2801	38,0732	96,6503	189,7037	41,7787	16,7550	16,7550	73,1037	151,1569	-19,3422	94,4861	207,7410	-20,9863	103,9113	231,3313	-21,3431	107,2692	243,5820	-21,2440	4,3300	23,2839	11,6419	53,0137	167,5777	-27,9762	64,2895	219,3810	-34,6497	70,0453	256,8585	-23,8764	73,4134	275,1453	-17,3428	9,0100	19,6176	17,8088	30,6093	167,8016	-43,2767	28,7405	219,3063	-32,2661	32,0547	242,1673	-31,1939	35,2620	253,2759	-31,1618	10,6200	21,0796	18,5398	5,8458	164,5829	-37,7905	9,1007	198,6238	-41,7839	11,9681	223,8137	-48,0433	11,8388	236,8590	-48,5791	19,8900	24,5376	12,2688	1,00	1,00	1,00	1,00	1,00	83,59	106,47	114,59	132,59	89,13	115,46	132,99	110,21	103,73	
9920	0,0000	0,0000	0,0000	9,0118	53,9382	-22,9308	15,3968	148,3670	-31,7455	12,8746	90,8775	0,9242	44,8715	145,2071	13,5746	61,3336	183,6726	14,3097	67,6551	203,5466	15,9962	16,6800	16,6800	37,8829	159,4445	-39,0001	46,9875	218,9348	-44,9656	51,3100	243,8598	-47,1566	52,1400	256,5186	-47,6564	3,9800	23,0679	11,5339	13,6212	171,4021	-42,9167	12,8575	224,0816	-51,6548	13,4955	262,3730	-42,4144	14,6305	281,2291	-36,8320	8,7300	19,8924	17,9462	-11,1899	166,7583	-52,8232	-20,5742	217,2244	-41,0138	-21,6096	240,3071	-40,4893	-20,6934	251,8112	-41,0871	9,9200	21,2751	18,6376	-33,0380	159,1752	-41,9551	-37,6020	192,9875	-46,4160	-41,2633	217,9656	-53,0388	-44,1092	230,6937	-53,4734	19,5400	24,5376	12,2688	1,00	1,00	1,00	1,00	1,00	84,25	107,87	115,73	134,37	89,75	115,33	132,96	109,96	103,88	
10360	0,0000	0,0000	0,0000	1,3279	54,8527	-22,4333	-11,9069	148,8541	-26,5981	-5,5287	90,1292	3,1723	13,2119	148,6982	21,9081	21,3327	189,5004	26,2793	23,2927	210,0593	29,5889	16,6650	16,6650	8,3055	164,8478	-30,6148	4,9731	225,1707	-32,8488	4,0183	250,5297	-33,3842	2,1379	263,0797	-33,2068	3,8400	22,9836	11,4918	-17,3758	171,6744	-36,9622	-28,6862	223,4604	-43,3103	-37,3936	260,2941	-32,4307	-40,9912	278,5466	-25,9788	8,3800	20,0716	18,0358	-39,3450	162,5869	-49,9829	-60,5018	208,9610	-36,7846	-66,5011	231,2178	-35,2298	-68,0092	242,6705	-35,1459	9,3600	21,3519	18,6759	-60,0909	149,8990	-42,1656	-71,5812	182,1334	-45,6393	-79,9892	206,1178	-51,5329	-85,5430	217,9196	-51,7396	19,1200	24,5239	12,2619	1,00	1,00	1,00	1,00	1,00	84,86	109,14	116,58	136,09	90,23	115,28	132,92	109,65	104,04	
10790	0,0000	0,0000	0,0000	6,7158	71,7400	-26,8183	0,6744	194,3466	-37,7397	-0,0867	119,4354	4,0729	16,3493	194,4645	36,5118	23,0283	247,2491	47,1323	21,3272	273,8745	52,0417	16,7250	16,7250	28,8735	212,5395	-42,0432	33,0135	290,7094	-46,5898	35,2454	323,5302	-47,8577	34,4904	339,9728	-48,0031	3,4200	22,8096	11,4048	-2,9794	223,8535	-52,6739	-23,8951	288,8872	-41,3852	-45,8983	291,2397	4,6501	-52,6110	281,0699	27,0944	13,5300	29,9081	6,9541	-31,3420	213,8472	-70,8799	-57,6648	274,9046	-55,2989	-65,1303	303,7509	-52,1252	-66,9938	318,5677	-50,9147	6,0000	18,1356	17,0678	-60,1462	200,1879	-61,8603	-71,4094	242,6576	-69,5900	-79,3048	273,9945	-79,6247	-85,2561	289,7516	-81,2234	19,6800	24,5644	12,2822	852,00	1,00	1,00	1,00	1,00	120,63	78,36	142,82	171,38	121,70	149,85	120,68	142,07	135,56	
